name,cn_name,node_type,Lake Hit (Y/N),Landslide Hit (Y/N),Debris Flow Hit (Y/N)
Shelter_31,和平112號,shelter,N,N,N
Shelter_1287,豐南7鄰12-3號,shelter,N,N,N
Shelter_1313,富南村4鄰42-1號,shelter,N,N,N
Shelter_1323,永豐10鄰20-1號,shelter,N,N,N
Shelter_1331,中山路205號,shelter,N,N,N
Shelter_1334,23鄰16-1號,shelter,N,N,N
Shelter_1336,中山路376號,shelter,N,N,N
Shelter_1360,8鄰富北34-2號,shelter,N,N,N
Shelter_1367,3鄰明里37號,shelter,N,N,N
Shelter_1370,9鄰東湖39號,shelter,N,N,N
Shelter_1403,崙天18號,shelter,N,N,N
Shelter_1407,1鄰20號,shelter,N,N,N
Shelter_1415,1鄰東竹10號,shelter,N,N,N
Shelter_1455,7鄰鎮寧100號,shelter,N,N,N
Shelter_1468,1鄰福安路6-1號,shelter,N,N,N
Shelter_1476,長良143-1號,shelter,N,N,N
Shelter_1481,1鄰13號,shelter,N,N,N
Shelter_1482,6鄰吳江65-3號,shelter,N,N,N
Shelter_1509,12鄰18號,shelter,N,N,N
Shelter_1536,樂合65-5號,shelter,N,N,N
Shelter_1540,水源57-1號,shelter,N,N,N
Shelter_1545,信義路5號,shelter,N,N,N
Shelter_1557,中正路144號,shelter,N,N,N
Shelter_1570,東豐石岡32之1號,shelter,N,N,N
Shelter_1582,7鄰73號,shelter,N,N,N
Shelter_1626,大禹226號,shelter,N,N,N
Shelter_1643,觀音9-1號,shelter,N,N,N
Shelter_1653,1鄰2號,shelter,N,N,N
Shelter_1654,6鄰79-1號,shelter,N,N,N
Shelter_1687,松浦214-3號,shelter,N,N,N
Shelter_1692,三民131-2號,shelter,N,N,N
Shelter_1699,12鄰4號,shelter,N,N,N
Shelter_1700,6鄰58號,shelter,N,N,N
Shelter_1707,1鄰12號,shelter,N,N,N
Shelter_1708,1鄰11-1號,shelter,N,N,N
Shelter_1738,75-1號,shelter,N,N,N
Shelter_1752,14鄰中正南路二段278號,shelter,N,N,N
Shelter_1759,64號,shelter,N,N,N
Shelter_1777,5鄰能雅79號,shelter,N,N,N
Shelter_1810,7鄰118號,shelter,N,N,N
Shelter_1849,仁愛路109號,shelter,N,N,N
Shelter_1851,167 號,shelter,N,N,N
Shelter_1855,4鄰信義路3號,shelter,N,N,N
Shelter_1859,中山路二段389號,shelter,N,N,N
Shelter_1861,13鄰中山路二段387號,shelter,N,N,N
Shelter_1864,2鄰40號,shelter,N,N,N
Shelter_1872,1鄰9號,shelter,N,N,N
Shelter_1875,成功北路18號,shelter,N,N,N
